// Enemy Placement Data Generated by Editor
// Format: COMMAND,X,Y,Z,TYPE,PATTERN or WAIT,TIME

WAIT,30
POP,-4.7906,-2.568,-91.431,ShootingFish,Shooting
WAIT,30
POP,12.01,-58.068,-86.91,ShootingFish,Shooting
WAIT,30
POP,-55.791,-43.568,-160.431,ShootingFish,Shooting
WAIT,900
POP,-16.5,-17.5,128.5,RushingFish,Homing
POP,-32,-34,147.5,RushingFish,Homing
POP,-17.5,-22,201.5,RushingFish,Homing
POP,-6.5,-20.5,183.5,RushingFish,Homing
WAIT,300
POP,163.36,-25.288,242.769,ShootingFish,Shooting
WAIT,1000
POP,298.523,23.843,-101.556,ShootingFish,Shooting
WAIT,600
POP,309.523,23.843,-101.556,ShootingFish,Shooting
WAIT,600
POP,112.023,4.843,-70.556,ShootingFish,Shooting
WAIT,120
POP,112.023,32.343,-70.556,ShootingFish,Shooting
